position_mm,Al,Si,Cl,Ca,Sc,Ti,Mn,Fe,Cu,As,Se,Sr,Y,Cd,Sb
32.2,442,731,2216,4263867,2654,315,1770,553,4377,939,1589,1334,395,2177,3069
32.4,304,591,2267,4161900,2539,204,2249,404,4194,400,1533,1430,490,2041,3585
32.6,294,581,2456,4194894,1735,389,1780,365,4126,887,1728,1243,313,2135,2146
32.8,382,549,2636,4217876,2282,257,1811,260,4192,412,1534,1376,331,2113,3950
33.0,390,620,2491,4249832,1506,332,1689,358,4086,562,1417,1326,375,2187,4630
33.2,384,699,2650,4228282,2345,259,1529,526,4283,544,1614,1272,338,2068,3300
33.4,464,758,2443,4287931,2121,264,2168,260,4550,574,1491,1179,228,2255,3765
33.6,360,520,2020,4262569,1194,393,2903,217,4711,774,1490,1122,417,1909,4324
33.8,350,489,1898,4145135,1584,225,2216,198,4522,795,1516,1228,315,2072,2850
34.0,343,540,2096,4164960,2223,133,2102,271,4771,889,1431,1078,330,2239,5166
34.2,257,674,2351,4176453,1666,346,1759,295,4567,668,1895,1166,345,2068,3390
34.4,443,692,2460,4151841,2789,641,1720,825,4358,723,1508,1099,259,2161,4180
34.6,380,544,2152,4229995,2317,436,1608,406,4424,1042,1551,1251,493,2036,3448
34.8,399,624,2126,4199208,2176,75,1793,190,4195,846,1748,1286,377,2070,5002
35.0,383,632,2241,4245191,1959,153,1522,206,4477,883,1730,1405,217,2102,3103
35.2,421,540,2161,4253207,1419,25,1320,253,4620,853,1882,1414,499,1999,3718
35.4,354,640,1864,4227018,1505,48,1519,258,4355,1014,1785,1081,293,2136,3530
35.6,431,482,1813,4230237,1623,109,1444,422,4306,1164,1535,1309,375,2066,3512
35.8,371,598,1917,4234890,1379,120,1165,288,4398,1150,1918,1024,457,2021,4474
36.0,275,588,1741,4225596,1854,38,1024,214,4470,1105,1780,1218,344,1990,3586
36.2,446,501,1559,4264178,394,118,1303,253,4463,1140,1761,1254,410,1865,5559
36.4,371,599,1483,4293670,0,153,1261,439,4314,1190,1719,1412,443,2099,4990
36.6,366,590,1522,4314876,1689,0,1147,152,4395,1015,1707,1281,449,2064,3423
36.8,318,629,1547,4164476,1302,140,1164,97,4219,926,1819,1248,319,2008,4217
37.0,408,554,1654,4160602,2483,49,1381,41,4215,900,1500,1237,230,2137,4623
37.2,362,599,1732,4205333,1670,124,1389,223,4387,917,1841,1089,386,2139,3448
37.4,341,625,1718,4326008,1765,26,1287,135,4476,974,2001,1282,348,2088,3603
37.6,342,563,1659,4345545,1058,100,1359,247,4407,775,1771,1304,288,2119,5362
37.8,391,530,1694,4203888,1463,222,1580,191,4415,827,2013,1178,379,2122,3233
38.0,420,592,1656,4198196,991,213,1424,396,4497,720,1853,1153,336,1964,3961
38.2,357,461,1545,4193004,1687,110,1191,325,4414,693,1678,1255,238,1932,4470
38.4,360,621,1540,4194764,2185,62,1579,1138,4114,529,1607,1196,346,1961,6081
38.6,364,596,1435,4255517,2835,60,2057,1093,4211,276,1619,1338,328,2134,3598
38.8,367,492,1408,4287608,2120,89,1420,127,4081,586,1703,1297,336,2246,3957
39.0,361,557,1342,4115874,1428,205,1378,275,4242,381,1480,1080,235,2067,4857
39.2,253,620,1414,4113206,1886,60,1522,169,3919,283,1737,1156,259,2226,2393
39.400000000000006,426,701,1465,4220982,2202,37,1671,173,4002,842,1665,1225,359,2153,3302
39.599999999999994,316,594,1596,4207610,2661,16,1687,206,4107,650,1662,1164,262,2105,4964
39.8,342,537,1431,4048548,2338,170,2206,231,4169,368,1655,1117,161,2106,3998
40.0,437,485,1503,4184910,2132,117,1499,286,4293,113,1801,1180,278,2123,3862
40.2,432,643,1467,4191161,2272,86,1562,175,4181,796,1406,1068,279,2080,3019
40.400000000000006,407,588,1513,4108455,1857,112,1402,198,4176,151,1430,1108,288,2114,3105
40.599999999999994,343,580,1422,4108320,1820,112,1196,402,3990,300,1413,1256,248,2054,3811
40.8,310,579,1439,4187539,1473,188,1700,742,4084,328,1521,1241,134,1949,1858
41.0,399,580,1412,4209911,1169,370,1528,175,4113,846,1686,1096,341,2061,4437
41.2,414,586,1477,4338517,1065,336,1391,205,4367,781,1691,1340,273,1987,5380
41.400000000000006,425,662,1467,4295870,1323,260,1675,305,4395,878,1889,1230,408,2060,3588
41.599999999999994,364,577,1406,4354169,1697,207,2012,362,4256,1018,1927,1354,322,2198,2894
41.8,341,648,1269,4286365,2726,76,996,334,4125,979,1849,1136,139,2209,2112
42.0,343,517,1360,4309229,2476,68,1395,285,4587,1045,1709,1373,205,2230,3599
42.2,365,540,1173,4302097,1720,156,1261,249,4686,1057,1718,1293,479,2182,3261
42.400000000000006,465,598,1278,4268478,1992,77,1197,88,4476,918,1931,1136,232,2371,3071
42.599999999999994,373,558,1182,4261606,859,100,545,165,4351,866,1587,1032,316,2094,4369
42.8,366,455,1283,4217267,2005,0,137,68,4414,1361,1654,1256,557,2043,2040
43.0,364,403,1127,4274563,2144,0,487,44,4622,950,1936,1416,360,2033,3794
43.2,440,550,1121,4284353,1515,0,953,39,4436,845,1871,1413,286,2103,3364
43.400000000000006,407,497,1094,4259531,1060,70,1138,66,4735,1085,1874,1248,433,2206,3209
43.599999999999994,428,553,1241,4204269,2140,0,645,36,4637,762,1721,1002,373,2167,3451
43.8,231,466,1055,4171594,2495,0,887,33,4813,721,1860,1095,594,2068,3260
44.0,432,469,1302,4197452,1848,0,1204,64,4575,1220,1749,1139,391,1950,4150
44.2,322,538,1159,4173646,2166,9,1402,0,4451,903,1904,1085,405,2081,3824
44.400000000000006,420,473,1078,4219358,1547,12,1613,38,4493,949,1767,1071,327,2231,3874
44.599999999999994,405,491,1138,4273401,2620,0,1460,82,4688,1039,1839,1124,458,1839,4072
44.8,381,442,1063,4207453,1998,0,1468,29,4781,1358,1777,978,354,1976,3689
45.0,295,417,1078,4252683,2206,0,1501,72,4728,1459,2058,897,539,2127,3577
45.2,373,568,1146,4249953,2217,26,1786,73,4784,1060,1667,1016,424,2187,2683
45.400000000000006,455,717,1071,4204835,1817,116,1950,104,4695,1129,1744,1144,345,2083,4200
45.599999999999994,406,618,1249,4309130,1665,249,2129,208,4491,1565,1731,1048,427,2178,4462
45.8,338,582,1176,4283010,1451,186,2210,420,4808,1422,1501,1279,490,2089,4305
46.0,289,480,1145,4349409,2561,0,1737,118,4402,1372,1599,1127,426,2110,3143
46.2,499,622,1394,4248062,2422,0,1471,132,4123,1059,1824,1219,543,2223,4149
46.400000000000006,313,604,1261,4311046,1473,0,1852,160,4426,1239,1579,1278,331,2020,5998
46.599999999999994,454,465,1171,4286488,866,0,3127,0,4508,1349,1555,1218,267,1988,4823
46.8,434,483,1154,4293065,1016,71,3401,0,4383,1634,1690,1310,559,2141,4828
47.0,359,500,1273,4348774,731,0,2524,10,4436,1256,1772,982,357,2158,5331
47.2,318,440,1134,4253361,1909,0,2698,0,4321,1206,1693,930,293,2129,5299
47.400000000000006,395,537,1162,4180232,1420,104,2712,0,4202,1348,1573,1046,369,2010,4986
47.599999999999994,429,447,1073,4163399,1908,0,2564,0,4288,917,1503,940,383,1992,5451
47.8,355,417,1284,4079808,1969,86,2356,0,4174,828,1507,705,238,2042,5689
48.0,327,447,1275,4199935,2164,38,2985,0,4367,675,1284,779,389,2046,5110
48.2,361,516,1324,4336838,961,183,3678,0,4164,1120,1522,943,469,2136,4726
48.400000000000006,398,556,1350,4273762,1758,131,2601,22,4089,961,1314,765,524,2010,4795
48.599999999999994,351,652,1751,4302365,1620,220,2141,164,4288,918,1599,934,574,2295,4616
48.8,350,496,1779,4284294,2512,95,2296,182,4268,952,1774,1022,431,2200,4915
49.0,268,495,1775,4145086,2016,161,2112,735,4352,454,1518,1069,529,2149,5382
49.2,339,498,1919,4128073,2108,208,1864,631,3993,343,1311,993,411,2166,5980
49.400000000000006,348,638,1914,4078942,2100,76,2353,660,4108,448,1219,922,292,1923,4941
49.599999999999994,361,623,1790,4178777,1291,162,2350,369,4177,442,1561,1152,416,2030,4765
49.8,317,448,1599,4077542,1686,166,2189,173,4320,245,1400,1116,263,2081,4268
50.0,414,482,1894,4111949,1555,216,2717,58,4083,276,1297,1079,236,1974,5421
50.2,319,376,1678,3955320,2408,90,2760,20,4283,46,1307,1024,285,1999,4138
50.400000000000006,282,395,1731,4078207,1890,161,2371,74,4358,229,1466,1011,459,2011,4529
50.599999999999994,396,506,1948,4254704,1387,218,1908,217,4203,848,1900,1121,425,2054,6369
50.8,390,528,1988,4337928,1442,99,1894,249,4278,845,1974,1317,339,2102,5533
51.0,361,536,2048,4329723,1595,251,1616,177,4439,734,1576,1180,423,2171,5425
51.2,402,574,2259,4262276,1633,246,1900,115,4423,965,1644,1194,440,2202,4405
51.400000000000006,294,615,2028,4303328,1730,180,1783,306,4111,1258,1768,1164,462,2293,4399
51.599999999999994,337,649,2189,4299464,1852,395,1122,373,4262,1245,1558,1395,506,2213,4912
51.8,327,645,2279,4257651,1579,245,857,146,4098,1609,1808,1389,275,2109,5803
52.0,287,654,2146,4268477,1743,175,1990,341,4220,1521,1831,1335,452,2163,4894
52.2,349,814,2225,4297456,1359,287,2123,640,4193,1306,1961,1259,475,2067,5652
52.400000000000006,345,795,2539,4214417,1908,389,2050,445,4320,1128,1899,1459,366,2176,3529
52.599999999999994,375,610,2911,4349582,1435,245,1858,394,4328,761,1677,1148,478,2002,5176
52.8,328,544,2484,4177750,984,295,2959,424,4180,1136,1632,972,248,2232,4389
53.0,376,661,2096,4242658,2246,222,2760,433,4392,841,1732,1096,551,2124,4026
53.2,394,679,2074,4268309,1769,103,3038,352,4262,940,1732,1129,581,2071,5342
53.400000000000006,327,577,2396,4306489,820,391,3125,295,4284,1050,1536,1059,432,2234,5718
53.599999999999994,355,614,2196,4270649,787,365,2896,272,3943,1004,1577,1063,403,2014,5484
53.8,327,497,2104,4351019,1726,19,2796,159,4276,719,1669,1042,585,2142,3541
54.0,310,669,2016,4339356,1359,84,3253,288,4203,758,1425,1086,406,2179,4590
54.2,364,649,2108,4281716,1734,89,2195,317,4041,940,1560,1293,571,2078,3556
54.400000000000006,322,561,2159,4291903,1264,178,2297,747,4167,880,1448,1042,357,2167,4235
54.599999999999994,404,644,2042,4181668,2669,0,1356,368,3900,481,1476,901,258,2218,3991
54.8,383,577,1893,4172445,2015,53,1729,178,3873,539,1587,907,383,2130,5444
55.0,379,602,2018,4339881,1961,51,1594,167,4167,1301,1478,1210,491,2081,4804
55.2,332,578,2064,4278334,1041,47,1590,139,4373,1190,1642,1059,452,2084,4706
55.400000000000006,402,770,2097,4198111,1594,52,1616,186,4094,982,1465,922,364,2200,4187
55.599999999999994,321,598,1968,4262135,1202,157,2198,277,4788,1081,1714,1016,341,1998,4950
55.8,389,654,2098,4257662,1227,305,2120,545,4422,1282,1625,1177,406,2233,3960
56.0,403,714,2171,4233736,1518,163,1906,343,4431,1054,1900,1100,533,1985,4284
56.2,400,647,2234,4294821,1814,160,2538,234,4170,1494,1825,1271,463,2071,3944
56.400000000000006,310,562,2126,4266198,1728,164,2850,318,4346,1037,1778,1215,356,2150,5064
56.599999999999994,342,556,1995,4199706,1385,245,2378,548,4294,1245,1912,1237,517,2084,4782
56.8,416,684,2113,4290050,1464,278,2283,567,5190,1225,1687,940,370,2255,3054
57.0,372,618,2181,4295593,1668,139,1781,238,5033,1334,1923,1134,556,1992,2811
57.2,409,629,2265,4340456,2484,839,1681,290,4086,1239,1834,1205,389,2207,5433
57.400000000000006,432,648,2043,4208820,1693,567,1632,295,4242,1120,1600,1069,471,2213,4153
57.599999999999994,321,579,2256,4273897,952,322,1558,222,4052,1214,1499,1122,351,2017,3479
57.8,336,521,2437,4283661,1438,200,2283,134,4261,1311,1666,1061,454,2067,3648
58.0,365,681,2497,4280056,792,333,1838,374,4283,1728,1801,954,618,2172,4064
58.2,403,601,2485,4267145,1291,283,1890,124,4288,1365,1608,1090,523,2015,3061
58.400000000000006,406,569,2258,4304164,513,192,2026,137,4313,1124,1725,1099,520,2239,5107
58.599999999999994,421,616,2258,4297562,1574,359,3056,341,4100,1486,1655,1116,516,2063,3999
58.8,420,654,2572,4390437,2233,354,3185,487,4299,1410,1552,1145,444,2326,4127
59.0,436,703,2363,4400825,1822,310,3148,454,4335,1402,1592,1078,624,2145,4212
59.2,361,721,2356,4322359,1462,395,2967,572,4116,1363,1644,1219,471,2139,3275
